date,border,local
2024-09-01,0,119
2024-08-31,0,97
2024-08-30,0,154
2024-08-29,0,154
2024-08-28,0,181
2024-08-27,0,228
2024-08-26,0,258
2024-08-25,0,121
2024-08-24,0,118
2024-08-23,0,127
2024-08-22,0,178
2024-08-21,0,246
2024-08-20,0,216
2024-08-19,0,281
2024-08-18,0,171
2024-08-17,0,125
2024-08-16,0,196
2024-08-15,0,210
2024-08-14,0,263
2024-08-13,0,217
2024-08-12,0,301
2024-08-11,0,177
2024-08-10,0,154
2024-08-09,0,208
2024-08-08,0,261
2024-08-07,0,217
2024-08-06,0,378
2024-08-05,0,277
2024-08-04,0,150
2024-08-03,0,123
2024-08-02,0,189
2024-08-01,0,190
2024-07-31,0,260
2024-07-30,0,269
2024-07-29,0,310
2024-07-28,0,177
2024-07-27,0,153
2024-07-26,0,195
2024-07-25,0,254
2024-07-24,0,267
2024-07-23,0,319
2024-07-22,0,384
2024-07-21,0,250
2024-07-20,0,159
2024-07-19,0,236
2024-07-18,0,323
2024-07-17,0,332
2024-07-16,0,349
2024-07-15,0,442
2024-07-14,0,235
2024-07-13,0,173
2024-07-12,0,293
2024-07-11,0,318
2024-07-10,0,422
2024-07-09,0,377
2024-07-08,0,481
2024-07-07,0,264
2024-07-06,0,249
2024-07-05,0,339
2024-07-04,0,380
2024-07-03,0,441
2024-07-02,0,458
2024-07-01,0,623
2024-06-30,0,378
2024-06-29,0,304
2024-06-28,0,282
2024-06-27,0,403
2024-06-26,0,511
2024-06-25,0,588
2024-06-24,0,616
2024-06-23,0,392
2024-06-22,0,299
2024-06-21,0,464
2024-06-20,0,592
2024-06-19,0,698
2024-06-18,0,747
2024-06-17,0,962
2024-06-16,0,546
2024-06-15,0,410
2024-06-14,0,618
2024-06-13,0,706
2024-06-12,0,835
2024-06-11,0,976
2024-06-10,0,1109
2024-06-09,0,731
2024-06-08,0,614
2024-06-07,0,889
2024-06-06,0,1029
2024-06-05,0,1258
2024-06-04,0,1379
2024-06-03,0,825
2024-06-02,0,691
2024-06-01,0,613
2024-05-31,0,853
2024-05-30,0,1074
2024-05-29,0,1214
2024-05-28,0,1365
2024-05-27,0,1543
2024-05-26,0,805
2024-05-25,0,708
2024-05-24,0,952
2024-05-23,0,1014
2024-05-22,0,948
2024-05-21,0,1126
2024-05-20,0,1083
2024-05-19,0,672
2024-05-18,0,482
2024-05-17,0,788
2024-05-16,0,809
2024-05-15,0,958
2024-05-14,0,801
2024-05-13,0,825
2024-05-12,0,447
2024-05-11,0,341
2024-05-10,0,418
2024-05-09,0,435
2024-05-08,0,496
2024-05-07,0,530
2024-05-06,0,677
2024-05-05,0,314
2024-05-04,0,241
2024-05-03,0,398
2024-05-02,0,409
2024-05-01,0,495
2024-04-30,0,500
2024-04-29,0,510
2024-04-28,0,311
2024-04-27,0,232
2024-04-26,0,337
2024-04-25,0,235
2024-04-24,0,376
2024-04-23,0,403
2024-04-22,0,448
2024-04-21,0,234
2024-04-20,0,227
2024-04-19,0,387
2024-04-18,0,360
2024-04-17,0,347
2024-04-16,0,377
2024-04-15,0,447
2024-04-14,0,251
2024-04-13,0,220
2024-04-12,0,334
2024-04-11,0,391
2024-04-10,0,435
2024-04-09,0,413
2024-04-08,0,577
2024-04-07,0,360
2024-04-06,0,261
2024-04-05,0,459
2024-04-04,0,512
2024-04-03,0,659
2024-04-02,0,721
2024-04-01,0,410
2024-03-31,0,295
2024-03-30,0,315
2024-03-29,0,257
2024-03-28,0,483
2024-03-27,0,653
2024-03-26,0,602
2024-03-25,0,794
2024-03-24,0,493
2024-03-23,0,353
2024-03-22,0,523
2024-03-21,0,596
2024-03-20,0,634
2024-03-19,0,691
2024-03-18,0,753
2024-03-17,0,438
2024-03-16,0,386
2024-03-15,0,576
2024-03-14,0,680
2024-03-13,0,738
2024-03-12,0,863
2024-03-11,0,988
2024-03-10,0,514
2024-03-09,0,468
2024-03-08,0,627
2024-03-07,0,696
2024-03-06,0,739
2024-03-05,0,751
2024-03-04,0,1005
2024-03-03,0,618
2024-03-02,0,497
2024-03-01,0,671
2024-02-29,0,778
2024-02-28,0,910
2024-02-27,0,982
2024-02-26,0,1117
2024-02-25,0,763
2024-02-24,0,581
2024-02-23,0,771
2024-02-22,0,891
2024-02-21,0,969
2024-02-20,0,948
2024-02-19,0,1154
2024-02-18,0,719
2024-02-17,0,591
2024-02-16,0,830
2024-02-15,0,935
2024-02-14,0,986
2024-02-13,0,1002
2024-02-12,0,1248
2024-02-11,0,638
2024-02-10,0,601
2024-02-09,0,901
2024-02-08,0,855
2024-02-07,0,1194
2024-02-06,0,705
2024-02-05,0,975
2024-02-04,0,627
2024-02-03,0,525
2024-02-02,0,763
2024-02-01,0,814
2024-01-31,0,878
2024-01-30,0,1041
2024-01-29,0,902
2024-01-28,0,612
2024-01-27,0,556
2024-01-26,0,745
2024-01-25,0,835
2024-01-24,0,854
2024-01-23,0,1033
2024-01-22,0,1126
2024-01-21,0,777
2024-01-20,0,598
2024-01-19,0,867
2024-01-18,0,918
2024-01-17,0,1052
2024-01-16,0,1244
2024-01-15,0,1517
2024-01-14,0,798
2024-01-13,0,704
2024-01-12,0,1039
2024-01-11,0,1137
2024-01-10,0,1356
2024-01-09,0,1498
2024-01-08,0,1499
2024-01-07,0,901
2024-01-06,0,836
2024-01-05,0,994
2024-01-04,0,1094
2024-01-03,0,1289
2024-01-02,0,791
2024-01-01,0,667
2023-12-31,0,650
2023-12-30,0,742
2023-12-29,0,1158
2023-12-28,0,1111
2023-12-27,0,1221
2023-12-26,0,826
2023-12-25,0,566
2023-12-24,0,751
2023-12-23,0,872
2023-12-22,0,1053
2023-12-21,0,1011
2023-12-20,0,1173
2023-12-19,0,1294
2023-12-18,0,1529
2023-12-17,0,876
2023-12-16,0,786
2023-12-15,0,1031
2023-12-14,0,1054
2023-12-13,0,1121
2023-12-12,0,1169
2023-12-11,0,1374
2023-12-10,0,807
2023-12-09,0,642
2023-12-08,0,868
2023-12-07,0,1045
2023-12-06,0,1056
2023-12-05,0,1265
2023-12-04,0,1322
2023-12-03,0,794
2023-12-02,0,580
2023-12-01,0,875
2023-11-30,0,1015
2023-11-29,0,1080
2023-11-28,0,1054
2023-11-27,0,1278
2023-11-26,0,707
2023-11-25,0,544
2023-11-24,0,833
2023-11-23,0,1019
2023-11-22,0,1131
2023-11-21,0,1270
2023-11-20,0,1292
2023-11-19,0,792
2023-11-18,0,690
2023-11-17,0,935
2023-11-16,0,1088
2023-11-15,0,1308
2023-11-14,0,1434
2023-11-13,0,1635
2023-11-12,0,823
2023-11-11,0,646
2023-11-10,0,951
2023-11-09,0,753
2023-11-08,0,843
2023-11-07,0,866
2023-11-06,0,1074
2023-11-05,0,581
2023-11-04,0,516
2023-11-03,0,725
2023-11-02,0,823
2023-11-01,0,810
2023-10-31,0,1234
2023-10-30,0,703
2023-10-29,0,439
2023-10-28,0,353
2023-10-27,0,509
2023-10-26,0,771
2023-10-25,0,751
2023-10-24,0,898
2023-10-23,0,570
2023-10-22,0,448
2023-10-21,0,401
2023-10-20,0,558
2023-10-19,0,624
2023-10-18,0,708
2023-10-17,0,748
2023-10-16,0,756
2023-10-15,0,413
