t,It,Rt,Ct
1,10,2.0,10
2,1,2.0810773579776916,1
3,3,1.9622062961411708,3
4,3,2.2128734868450364,3
5,2,2.305236341621621,2
6,8,2.9130635047394717,8
7,6,3.5022728357582174,6
8,11,3.308940790586932,11
9,9,3.078907897350833,9
10,16,2.862307849612298,16
11,21,2.8000438849520126,21
12,30,2.782020983129808,30
13,31,2.6658429102018637,31
14,26,2.4169242922338037,26
15,31,1.9938899346941585,31
16,27,1.6826942798062516,27
17,29,1.8395164041153316,29
18,32,1.6534656404964583,32
19,36,1.4609724440860585,36
20,42,1.3223394562226887,42
21,34,1.16397615966101,34
22,35,1.3986917583774405,35
23,39,1.4490977230346547,39
24,47,1.2286856617176136,47
25,43,1.2682256079306107,43
26,52,1.4654988847050672,52
27,67,1.6027949083963817,67
28,66,1.5511440797900442,66
29,77,1.7202550018894944,77
30,78,1.5820352154506785,78
31,87,1.657029470846423,87
32,75,1.4536921975626729,75
33,85,1.4511166085679292,85
34,103,1.444484502537222,103
35,97,1.3438600298776107,97
36,129,1.639844816253242,129
37,108,1.4558392420730104,108
38,130,1.4510565763036285,130
39,119,1.466878645425082,119
40,108,1.2376894285576838,108
41,120,1.2440971165760235,120
42,132,1.1917644984549094,132
43,114,0.9606978640574337,114
44,96,0.8089034673771833,96
45,100,0.7609228440884124,100
46,76,0.7945089179870984,76
47,90,0.726896423351576,90
48,69,0.7241865621170046,69
49,57,0.6374681901899605,57
50,53,0.5977595656775294,53
51,43,0.6110047458573676,43
52,45,0.5718738534709611,45
53,40,0.5251355438995757,40
54,32,0.45338088278202937,32
55,21,0.4113394167884312,21
56,34,0.4158049517682768,34
57,24,0.3884122678390116,24
58,14,0.39460123747032094,14
59,12,0.363565523139508,12
60,11,0.31725836596808243,11
61,9,0.3205845905708336,9
62,4,0.30142585659809246,4
63,6,0.30474602197559664,6
64,4,0.32195699371298686,4
65,6,0.32126546195454286,6
66,6,0.40352531163916827,6
67,6,0.42480804981994563,6
68,6,0.42405638631028153,6
69,5,0.39190859361065883,5
70,0,0.43425398113874947,0
71,4,0.5702490991151147,4
72,7,0.5507462605474941,7
73,2,0.5261287102983978,2
74,0,0.4642522722223288,0
75,3,0.5491850002886143,3
76,0,0.6164389273919052,0
77,3,0.624522097592103,3
78,2,0.5428211060534125,2
79,0,0.5166158207941904,0
80,2,0.5780445770788202,2
81,1,0.5041588287144404,1
82,2,0.5954432916064735,2
83,2,0.7158697966619672,2
84,1,0.5513556851856596,1
85,0,0.5192267424393695,0
86,0,0.4787559213482481,0
87,1,0.5514842357185539,1
88,2,0.5997515128605387,2
89,3,0.48056309810245784,3
90,2,0.583627648732283,2
91,0,0.6419357835511604,0
92,2,0.6002931135945434,2
93,0,0.6733218934230424,0
94,0,0.6418412857136181,0
95,0,0.6425911918814127,0
96,1,0.5066032898883016,1
97,0,0.44777459906602984,0
98,0,0.46236936783725363,0
99,0,0.40303337402176187,0
100,1,0.4208753342223593,1
